date,open,high,low,close,volume,symbol,source,download_timestamp_market,asset,adractcnt,feetotntv,txcnt,download_timestamp_onchain,sma_20,ema_20,rsi_14,macd,macd_signal,bb_upper,bb_lower,bb_width
2024-09-06,56156.82,56995.0,52530.0,53950.01,18495.45064356,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,726287,7.59197643,665444,2025-06-29 17:05:04.117435,59586.482,58818.59944452462,34.18376721144928,-1327.7521297793282,-816.7136012552058,64792.46205998719,54380.501940012815,10411.960119974377
2024-09-07,53950.0,54847.0,53733.1,54156.33,3284.57722628,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,606660,6.46683071,794571,2025-06-29 17:05:04.117435,59372.40349999999,58374.57378314132,34.969279706513916,-1532.4171622407084,-959.8543134523064,65077.87210431385,53666.934895686136,11410.937208627714
2024-09-08,54159.6,55315.95,53623.95,54881.11,3684.86816392,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,596940,6.33151484,906655,2025-06-29 17:05:04.117435,59143.8255,58041.86294665167,37.77865047059979,-1617.4866074769452,-1091.3807722572342,65175.11353033806,53112.53746966194,12062.576060676118
2024-09-09,54881.1,58119.97,54565.56,57053.9,10203.03329517,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,736827,6.91182253,570838,2025-06-29 17:05:04.117435,59045.64099999999,57947.77123744675,45.394573317065394,-1492.375584713569,-1171.579734748501,65145.49715892342,52945.78484107656,12199.712317846861
2024-09-10,57047.82,58050.35,56377.76,57645.59,6433.21371111,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,733172,7.09570672,556413,2025-06-29 17:05:04.117435,58869.7565,57918.992071975634,47.28675998968054,-1330.1466570817138,-1203.2931192151436,64917.86804856217,52821.64495143783,12096.22309712434
2024-09-11,57641.15,58014.35,55534.41,57352.79,11678.94297124,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,662704,6.59198231,408991,2025-06-29 17:05:04.117435,58718.23150000001,57865.06806512081,46.42936208604089,-1211.2431193977027,-1204.8831192516554,64758.91811185557,52677.544888144446,12081.373223711125
2024-09-12,57352.92,58600.0,57311.15,58137.54,10175.62390483,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,775748,8.30613518,561823,2025-06-29 17:05:04.117435,58420.77250000001,57891.01777320454,49.09352524372313,-1041.680597059545,-1172.2426148132336,63937.952403232724,52903.59259676729,11034.359806465436
2024-09-13,58137.33,60670.0,57630.01,60543.35,11935.95544754,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,794367,7.52913494,422965,2025-06-29 17:05:04.117435,58238.95849999999,58143.62084242316,56.27308086453053,-705.0449958309619,-1078.8030910167793,63196.29930630845,53281.617693691536,9914.681612616914
2024-09-14,60543.35,60660.0,59436.8,60012.35,3147.39019631,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,688474,6.77228776,637192,2025-06-29 17:05:04.117435,58026.9795,58321.59504790667,54.44782824079493,-475.6234279643468,-958.1671584062929,62245.190698436956,53808.76830156305,8436.42239687391
2024-09-15,60012.34,60402.34,58695.75,59122.33,3975.3568185,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,643849,6.03449901,730022,2025-06-29 17:05:04.117435,57841.096000000005,58397.855519534605,51.43633277068077,-361.45572176726273,-838.8248710784869,61482.80168404641,54199.3903159536,7283.411368092813
