asset,time,AdrActCnt,FeeTotNtv,TxCnt,download_timestamp
btc,2024-03-25 00:00:00+00:00,918815,28.33934579,320633,2025-06-29 16:50:53.838759
btc,2024-03-26 00:00:00+00:00,851577,31.73448011,313314,2025-06-29 16:50:53.838759
btc,2024-03-27 00:00:00+00:00,865580,30.07974471,358499,2025-06-29 16:50:53.838759
btc,2024-03-28 00:00:00+00:00,942681,30.48254828,433584,2025-06-29 16:50:53.838759
btc,2024-03-29 00:00:00+00:00,847610,29.19381658,451776,2025-06-29 16:50:53.838759
btc,2024-03-30 00:00:00+00:00,826192,29.62062953,486300,2025-06-29 16:50:53.838759
btc,2024-03-31 00:00:00+00:00,691124,28.42997282,315001,2025-06-29 16:50:53.838759
btc,2024-04-01 00:00:00+00:00,970510,27.14297447,330165,2025-06-29 16:50:53.838759
btc,2024-04-02 00:00:00+00:00,953501,22.22169146,358331,2025-06-29 16:50:53.838759
btc,2024-04-03 00:00:00+00:00,965290,27.90854939,369696,2025-06-29 16:50:53.838759
btc,2024-04-04 00:00:00+00:00,978380,23.07677565,324609,2025-06-29 16:50:53.838759
btc,2024-04-05 00:00:00+00:00,950040,20.47892648,346357,2025-06-29 16:50:53.838759
btc,2024-04-06 00:00:00+00:00,907389,17.93208872,433426,2025-06-29 16:50:53.838759
btc,2024-04-07 00:00:00+00:00,833045,21.56961081,526443,2025-06-29 16:50:53.838759
btc,2024-04-08 00:00:00+00:00,896193,34.00181329,454644,2025-06-29 16:50:53.838759
btc,2024-04-09 00:00:00+00:00,890535,46.69578897,450513,2025-06-29 16:50:53.838759
btc,2024-04-10 00:00:00+00:00,846297,71.20955424,538372,2025-06-29 16:50:53.838759
btc,2024-04-11 00:00:00+00:00,748021,109.2683687,479937,2025-06-29 16:50:53.838759
btc,2024-04-12 00:00:00+00:00,832502,153.45642058,441977,2025-06-29 16:50:53.838759
btc,2024-04-13 00:00:00+00:00,869723,107.18489341,510750,2025-06-29 16:50:53.838759
btc,2024-04-14 00:00:00+00:00,839158,72.98308634,468144,2025-06-29 16:50:53.838759
